Entity,Code,Year,Birth rate - sex: all - age: all - variant: estimates
Haiti,HTI,2011,27.202999114990234
Haiti,HTI,2012,26.59499931335449
Haiti,HTI,2013,26.09000015258789
Haiti,HTI,2014,25.770999908447266
Haiti,HTI,2015,25.51000022888184
Haiti,HTI,2016,25.253999710083008
Haiti,HTI,2017,24.979999542236328
Haiti,HTI,2018,24.57900047302246
Haiti,HTI,2019,24.304000854492188
Honduras,HND,2010,25.392000198364254
Honduras,HND,2011,24.71699905395508
Honduras,HND,2012,24.11100006103516
Honduras,HND,2013,23.569000244140625
Honduras,HND,2014,23.12299919128418
Honduras,HND,2015,22.750999450683597
Honduras,HND,2016,22.440000534057617
Honduras,HND,2017,22.15999984741211
Honduras,HND,2018,21.895000457763672
Honduras,HND,2019,21.62800025939941
Hong Kong,HKG,2010,9.663999557495115
Hong Kong,HKG,2011,9.869000434875488
Hong Kong,HKG,2012,10.562000274658203
Hong Kong,HKG,2013,11.086999893188477
Hong Kong,HKG,2014,10.454999923706056
Hong Kong,HKG,2015,10.64900016784668
Hong Kong,HKG,2016,10.45199966430664
Hong Kong,HKG,2017,9.597000122070312
Hong Kong,HKG,2018,8.923999786376953
Hong Kong,HKG,2019,8.347999572753906
Hungary,HUN,2010,9.067999839782717
Hungary,HUN,2011,8.892000198364258
Hungary,HUN,2012,9.0649995803833
Hungary,HUN,2013,9.074999809265137
Hungary,HUN,2014,9.411999702453612
Hungary,HUN,2015,9.366999626159668
Hungary,HUN,2016,9.68299961090088
Hungary,HUN,2017,9.633000373840332
Hungary,HUN,2018,9.539999961853027
Hungary,HUN,2019,9.470000267028809
Iceland,ISL,2010,15.409000396728516
Iceland,ISL,2011,14.16100025177002
Iceland,ISL,2012,14.128000259399414
Iceland,ISL,2013,13.383000373840332
Iceland,ISL,2014,13.3100004196167
Iceland,ISL,2015,12.489999771118164
Iceland,ISL,2016,12.027000427246094
Iceland,ISL,2017,11.78600025177002
Iceland,ISL,2018,11.928999900817873
Iceland,ISL,2019,12.288000106811523
India,IND,2010,21.4379997253418
India,IND,2011,20.94499969482422
India,IND,2012,20.42099952697754
India,IND,2013,19.934999465942383
India,IND,2014,19.048999786376957
India,IND,2015,18.76499938964844
India,IND,2016,18.513999938964844
India,IND,2017,17.910999298095703
India,IND,2018,17.650999069213867
India,IND,2019,17.048999786376953
Indonesia,IDN,2010,20.15800094604492
Indonesia,IDN,2011,20.34499931335449
Indonesia,IDN,2012,20.093000411987305
Indonesia,IDN,2013,19.41699981689453
Indonesia,IDN,2014,18.95400047302246
Indonesia,IDN,2015,18.447999954223636
Indonesia,IDN,2016,18.017000198364254
Indonesia,IDN,2017,17.518999099731445
Indonesia,IDN,2018,17.179000854492188
Indonesia,IDN,2019,16.90999984741211
Iran,IRN,2010,17.7549991607666
Iran,IRN,2011,18.16399955749512
Iran,IRN,2012,18.926000595092773
Iran,IRN,2013,19.44499969482422
Iran,IRN,2014,19.823999404907227
Iran,IRN,2015,19.42799949645996
Iran,IRN,2016,19.017000198364254
Iran,IRN,2017,18.607999801635746
Iran,IRN,2018,17.231000900268555
Iran,IRN,2019,15.118000030517578
Iraq,IRQ,2010,34.29100036621094
Iraq,IRQ,2011,35.09000015258789
